Wavelength (nm),Relative Spectral Sensitivity,,,
700.4122,0.6965,,,
702.1868,0.6992,,,
703.9614,0.7019,,,
705.7361,0.7045,,,
707.5107,0.7072,,,
707.5095,0.7098,,,
709.2841,0.7125,,,
711.0588,0.7151,,,
712.8334,0.7178,,,
712.8322,0.7205,,,
714.6068,0.7231,,,
716.3815,0.7258,,,
718.1561,0.7284,,,
718.1549,0.7311,,,
719.9295,0.7337,,,
721.7042,0.7364,,,
723.4788,0.7389,,,
725.2534,0.7417,,,
725.2522,0.7444,,,
727.0269,0.7469,,,
728.8014,0.7497,,,
730.576,0.7523,,,
730.5749,0.755,,,
732.3496,0.7576,,,
734.1242,0.7603,,,
735.8988,0.7629,,,
737.6734,0.7656,,,
737.6722,0.7683,,,
739.4469,0.7709,,,
741.2215,0.7736,,,
742.9961,0.7762,,,
744.7708,0.7789,,,
746.5453,0.7814,,,
746.5442,0.7842,,,
748.3188,0.7869,,,
750.0934,0.7894,,,
751.8681,0.7922,,,
751.8669,0.7948,,,
753.6415,0.7974,,,
755.4161,0.8001,,,
757.1908,0.8028,,,
758.9654,0.8054,,,
760.74,0.8081,,,
762.5146,0.8108,,,
764.2893,0.8134,,,
764.2881,0.8161,,,
766.0627,0.8187,,,
767.8373,0.8214,,,
769.612,0.8239,,,
771.3866,0.8267,,,
773.1612,0.8293,,,
773.16,0.8319,,,
774.9346,0.8347,,,
776.7093,0.8373,,,
778.4839,0.8399,,,
780.2585,0.8426,,,
782.0332,0.8453,,,
783.8077,0.8479,,,
785.5824,0.8506,,,
787.357,0.8533,,,
787.3559,0.8559,,,
789.1305,0.8586,,,
790.9051,0.8612,,,
792.6797,0.8639,,,
794.4544,0.8665,,,
796.229,0.8692,,,
798.0036,0.8718,,,
799.7782,0.8745,,,
801.5529,0.8772,,,
803.3275,0.8798,,,
805.1021,0.8824,,,
806.8767,0.8851,,,
808.6514,0.8878,,,
810.426,0.8904,,,
812.2006,0.8931,,,
813.9752,0.8958,,,
813.9741,0.8984,,,
815.7499,0.8984,,,
817.5245,0.9011,,,
819.3003,0.9011,,,
819.2991,0.9037,,,
821.0738,0.9064,,,
822.8484,0.909,,,
824.623,0.9117,,,
826.3976,0.9143,,,
828.1723,0.917,,,
829.9468,0.9197,,,
831.7227,0.9197,,,
831.7215,0.9223,,,
833.4973,0.9223,,,
833.4961,0.925,,,
835.2719,0.925,,,
837.0466,0.9276,,,
838.8212,0.9303,,,
840.5958,0.9329,,,
842.3704,0.9356,,,
844.1451,0.9382,,,
845.9197,0.9409,,,
847.6955,0.9409,,,
849.4701,0.9436,,,
851.2447,0.9462,,,
853.0194,0.9489,,,
854.794,0.9515,,,
856.5686,0.9542,,,
858.3444,0.9542,,,
860.1191,0.9567,,,
861.8937,0.9595,,,
863.6683,0.9622,,,
865.4441,0.9622,,,
867.2187,0.9647,,,
868.9933,0.9675,,,
870.768,0.9701,,,
872.5438,0.9701,,,
874.3184,0.9727,,,
876.093,0.9754,,,
877.8688,0.9754,,,
879.6435,0.9781,,,
881.4193,0.9781,,,
883.1939,0.9807,,,
884.9685,0.9834,,,
886.7443,0.9834,,,
888.519,0.9861,,,
890.2948,0.9861,,,
892.0694,0.9887,,,
893.8439,0.9914,,,
895.6198,0.9914,,,
897.3944,0.994,,,
899.1702,0.994,,,
900.9449,0.9967,,,
902.7207,0.9967,,,
904.4965,0.9967,,,
906.2723,0.9967,,,
908.0469,0.9992,,,
909.8227,0.9992,,,
911.5985,0.9992,,,
913.3743,0.9992,,,
915.1501,0.9992,,,
916.9259,0.9992,,,
918.7017,0.9992,,,
920.4775,0.9992,,,
922.2533,0.9992,,,
924.0292,0.9992,,,
925.805,0.9992,,,
927.5808,0.9992,,,
929.3566,0.9992,,,
931.1324,0.9992,,,
932.9082,0.9992,,,
934.684,0.9992,,,
936.461,0.9967,,,
938.2368,0.9967,,,
940.0138,0.994,,,
941.7896,0.994,,,
943.5654,0.994,,,
945.3412,0.994,,,
947.1181,0.9914,,,
948.894,0.9914,,,
948.8951,0.9887,,,
950.6721,0.9861,,,
952.4479,0.9861,,,
952.4491,0.9834,,,
954.2261,0.9807,,,
956.0031,0.9781,,,
956.0042,0.9754,,,
957.7812,0.9727,,,
957.7824,0.9701,,,
959.5594,0.9675,,,
961.3364,0.9647,,,
961.3376,0.9622,,,
961.3387,0.9595,,,
961.3399,0.9567,,,
963.1169,0.9542,,,
963.1181,0.9515,,,
964.8951,0.9489,,,
964.8961,0.9462,,,
966.6732,0.9436,,,
966.6743,0.9409,,,
966.6756,0.9382,,,
968.4526,0.9356,,,
968.4537,0.9329,,,
970.2307,0.9303,,,
970.2319,0.9276,,,
970.2331,0.925,,,
972.0101,0.9223,,,
972.0113,0.9197,,,
972.0124,0.917,,,
973.7894,0.9143,,,
973.7906,0.9117,,,
973.7917,0.909,,,
975.5688,0.9064,,,
975.5699,0.9037,,,
975.5711,0.9011,,,
977.3481,0.8984,,,
977.3493,0.8958,,,
977.3505,0.8931,,,
979.1274,0.8904,,,
979.1286,0.8878,,,
979.1298,0.8851,,,
980.9068,0.8824,,,
980.908,0.8798,,,
980.9091,0.8772,,,
982.6861,0.8745,,,
982.6873,0.8718,,,
982.6885,0.8692,,,
984.4655,0.8665,,,
984.4666,0.8639,,,
984.4678,0.8612,,,
984.4689,0.8586,,,
986.246,0.8559,,,
986.2472,0.8533,,,
986.2483,0.8506,,,
988.0253,0.8479,,,
988.0265,0.8453,,,
988.0277,0.8426,,,
988.0289,0.8399,,,
989.8058,0.8373,,,
989.807,0.8347,,,
989.8082,0.8319,,,
991.5852,0.8293,,,
991.5864,0.8267,,,
991.5876,0.8239,,,
991.5887,0.8214,,,
993.3657,0.8187,,,
993.3669,0.8161,,,
993.3681,0.8134,,,
995.1451,0.8108,,,
995.1461,0.8081,,,
995.1474,0.8054,,,
996.9243,0.8028,,,
996.9256,0.8001,,,
996.9268,0.7974,,,
996.9279,0.7948,,,
996.9291,0.7922,,,
998.7061,0.7894,,,
998.7073,0.7869,,,
998.7085,0.7842,,,
998.7096,0.7814,,,
1000.4866,0.7789,,,
1000.4878,0.7762,,,
1000.4889,0.7736,,,
1000.4902,0.7709,,,
1002.2671,0.7683,,,
1002.2683,0.7656,,,
1002.2695,0.7629,,,
1002.2707,0.7603,,,
1004.0477,0.7576,,,
1004.0488,0.755,,,
1004.05,0.7523,,,
1004.0512,0.7497,,,
1005.8282,0.7469,,,
1005.8294,0.7444,,,
1005.8305,0.7417,,,
1005.8317,0.7389,,,
1007.6087,0.7364,,,
1007.6099,0.7337,,,
1007.6111,0.7311,,,
1007.6122,0.7284,,,
1009.3892,0.7258,,,
1009.3904,0.7231,,,
1009.3916,0.7205,,,
1009.3928,0.7178,,,
1011.1697,0.7151,,,
