Group #2023-03-29 11:14:38 AM
Angle of Incidence (deg), Isc (A)
-85.078125,-1.450356E-5
-81.562500,-2.332347E-5
-78.046875,-3.459817E-5
-75.234375,-4.342184E-5
-71.718750,-5.568070E-5
-68.203125,-6.744185E-5
-64.687500,-8.117132E-5
-61.171875,-9.293622E-5
-57.656250,-0.000102
-54.140625,-0.000113
-50.625000,-0.000123
-47.109375,-0.000133
-43.593750,-0.000140
-40.078125,-0.000148
-36.562500,-0.000155
-33.046875,-0.000159
-29.531250,-0.000163
-26.015625,-0.000163
-23.203125,-0.000165
-19.687500,-0.000168
-16.171875,-0.000170
-12.656250,-0.000172
-9.140625,-0.000174
-5.625000,-0.000177
-2.109375,-0.000177
1.406250,-0.000177
4.921875,-0.000176
8.437500,-0.000176
11.953125,-0.000175
15.468750,-0.000172
18.984375,-0.000168
22.500000,-0.000166
26.015625,-0.000162
28.828125,-0.000158
32.343750,-0.000154
35.859375,-0.000150
39.375000,-0.000146
42.890625,-0.000141
46.406250,-0.000138
49.921875,-0.000132
53.437500,-0.000128
56.953125,-0.000122
60.468750,-0.000114
63.984375,-0.000105
67.500000,-9.342266E-5
71.015625,-8.411254E-5
74.531250,-7.185368E-5
78.046875,-6.303377E-5
80.859375,-5.421009E-5
84.375000,-4.195123E-5
