Group #2023-03-29 10:34:10 AM
Angle of Incidence (deg), Isc (A)
-85.078125,-1.008045E-5
-81.562500,-2.135890E-5
-78.046875,-3.164943E-5
-75.234375,-4.096331E-5
-71.718750,-5.272821E-5
-68.203125,-6.547351E-5
-64.687500,-7.870902E-5
-61.171875,-9.096413E-5
-57.656250,-0.000102
-54.140625,-0.000113
-50.625000,-0.000124
-47.109375,-0.000132
-43.593750,-0.000141
-40.078125,-0.000148
-36.562500,-0.000154
-33.046875,-0.000159
-29.531250,-0.000161
-26.015625,-0.000164
-23.203125,-0.000166
-19.687500,-0.000168
-16.171875,-0.000171
-12.656250,-0.000174
-9.140625,-0.000175
-5.625000,-0.000177
-2.109375,-0.000177
1.406250,-0.000177
4.921875,-0.000177
8.437500,-0.000175
11.953125,-0.000174
15.468750,-0.000171
18.984375,-0.000169
22.500000,-0.000165
26.015625,-0.000162
28.828125,-0.000159
32.343750,-0.000155
35.859375,-0.000150
39.375000,-0.000146
42.890625,-0.000142
46.406250,-0.000138
49.921875,-0.000134
53.437500,-0.000129
56.953125,-0.000122
60.468750,-0.000115
63.984375,-0.000106
67.500000,-9.537596E-5
71.015625,-8.606584E-5
74.531250,-7.380698E-5
78.046875,-6.400666E-5
80.859375,-5.419882E-5
84.375000,-4.341433E-5
