0.024,0.000,0.000
0.039,0.000,0.000
0.400,0.391,-0.000
0.664,0.664,0.000
0.737,0.737,0.000
0.732,0.737,0.000
1.074,1.099,-0.000
1.382,1.401,0.000
1.650,1.670,0.000
1.724,1.719,0.000
1.729,1.729,0.000
1.782,1.758,0.000
1.875,1.792,0.001
1.997,1.831,0.002
2.783,1.968,0.008
3.242,2.041,0.010
4.917,2.236,0.023
4.927,2.227,0.023
4.922,2.231,0.023
4.922,2.227,0.023
4.917,2.227,0.023
4.937,2.222,0.023
4.917,2.217,0.023
4.922,2.212,0.023
4.922,2.212,0.023
4.922,2.207,0.023
3.159,1.992,0.010
2.251,1.860,0.003
2.104,1.846,0.002
2.144,1.851,0.003
2.275,1.880,0.004
2.637,1.943,0.007
3.008,1.982,0.009
3.281,2.017,0.011
4.937,2.207,0.023
4.922,2.207,0.023
4.922,2.202,0.023
4.922,2.197,0.023
4.932,2.197,0.023
2.261,1.870,0.003
2.969,1.987,0.009
4.922,2.217,0.023
4.922,2.197,0.023
0.034,0.000,0.000
0.034,0.000,0.000
0.391,0.371,-0.000
0.615,0.645,0.000
0.796,0.815,-0.000
1.030,1.050,0.000
1.035,1.050,0.000
1.372,1.396,0.000
1.890,1.958,0.000
2.437,2.485,0.000
2.563,2.578,0.000
2.627,2.622,0.000
2.666,2.637,0.001
2.783,2.676,0.001
2.993,2.734,0.003
4.863,3.057,0.016
4.922,3.062,0.016
4.937,3.062,0.016
4.932,3.057,0.016
4.937,3.057,0.016
3.613,2.837,0.006
3.042,2.734,0.003
3.101,2.749,0.003
4.907,3.062,0.016
3.394,2.808,0.005
2.979,2.720,0.002
2.866,2.700,0.002
2.832,2.686,0.001
2.842,2.686,0.002
3.599,2.842,0.006
4.917,3.062,0.016
4.932,3.066,0.016
4.927,3.062,0.016
4.932,3.062,0.016
4.932,3.062,0.016
4.932,3.052,0.016
3.408,2.798,0.005
3.232,2.773,0.004
3.081,2.749,0.003
2.930,2.700,0.002
2.827,2.686,0.001
2.837,2.686,0.001
2.837,2.686,0.002
2.832,2.686,0.002
2.832,2.690,0.002
2.822,2.686,0.001
2.729,2.656,0.001
2.686,2.632,0.001
2.632,2.617,0.000
2.632,2.617,0.000
2.617,2.612,0.000
2.607,2.603,0.000
2.598,2.598,0.000
2.578,2.593,0.000
2.563,2.583,0.000
2.544,2.568,0.000
2.510,2.534,0.000
2.178,2.192,0.000
2.041,2.065,0.000
1.953,1.978,0.000
2.559,2.578,0.000
2.603,2.603,0.000
2.666,2.637,0.000
2.778,2.671,0.001
2.896,2.705,0.002
2.886,2.700,0.002
3.208,2.783,0.004
4.902,3.062,0.016
4.902,3.052,0.016
4.897,3.066,0.016
4.893,3.062,0.016
4.893,3.047,0.016
4.897,3.047,0.016
4.893,3.052,0.016
3.472,2.798,0.005
3.062,2.744,0.003
2.983,2.725,0.003
3.652,2.886,0.010
4.893,3.057,0.016
4.893,3.057,0.016
4.897,3.052,0.016
3.208,2.754,0.003
3.018,2.725,0.003
2.866,2.695,0.002
2.778,2.676,0.001
2.739,2.666,0.001
2.783,2.676,0.001
3.652,2.891,0.009
4.893,3.052,0.016
4.893,3.052,0.016
4.893,3.052,0.016
4.888,3.052,0.016
