0.503,2.915
0.542,2.915
0.562,2.920
0.259,2.759
0.195,2.720
0.161,2.695
0.132,2.681
0.117,2.656
0.103,2.651
0.088,2.642
0.078,2.637
0.078,2.632
0.068,2.632
0.059,2.622
0.054,2.612
0.049,2.607
0.034,2.588
0.029,2.573
0.029,2.568
0.024,2.568
0.015,2.563
0.015,2.563
0.015,2.544
0.015,2.539
0.010,2.539
0.010,2.534
0.010,2.524
0.005,2.520
0.005,2.500
0.005,2.490
0.000,2.471
0.000,2.422
0.000,2.310
0.005,2.490
0.005,2.505
0.005,2.510
0.005,2.515
0.005,2.520
0.010,2.520
0.015,2.529
0.005,2.529
0.010,2.534
0.010,2.534
0.010,2.534
0.015,2.534
0.015,2.534
0.010,2.534
0.010,2.544
0.010,2.539
0.015,2.539
0.010,2.539
0.015,2.544
0.015,2.544
0.015,2.549
0.020,2.544
0.010,2.554
0.010,2.554
0.020,2.549
0.020,2.554
0.020,2.559
0.015,2.559
0.020,2.559
0.024,2.573
0.020,2.563
0.029,2.573
0.029,2.573
0.029,2.573
0.029,2.578
0.034,2.578
0.029,2.573
0.029,2.583
0.034,2.583
0.044,2.598
0.044,2.603
0.049,2.607
0.049,2.607
0.059,2.617
0.063,2.622
0.068,2.627
0.073,2.627
0.073,2.632
0.078,2.637
0.083,2.642
0.098,2.651
0.088,2.646
0.107,2.666
0.117,2.671
0.137,2.681
0.156,2.700
0.181,2.715
0.186,2.715
0.176,2.710
0.186,2.715
0.190,2.725
0.249,2.769
0.425,2.881
0.552,2.949
0.566,2.954
0.571,2.954
0.562,2.949
0.566,2.954
0.571,2.954
0.566,2.949
0.571,2.949
0.566,2.949
0.566,2.949
0.576,2.949
0.566,2.949
0.576,2.949
0.571,2.954
0.566,2.949
0.566,2.949
