2.710,2.891,0.015
2.275,2.886,0.015
1.445,2.778,0.009
0.713,2.705,0.005
0.679,2.705,0.005
0.640,2.690,0.004
0.415,2.661,0.003
0.298,2.637,0.002
0.361,2.632,0.002
0.220,2.637,0.002
0.024,2.637,0.002
0.352,2.632,0.002
0.166,2.598,0.001
0.127,2.583,0.001
0.093,2.583,0.001
0.083,2.578,0.001
0.073,2.563,0.001
0.044,2.563,0.000
0.059,2.554,0.000
0.049,2.544,0.000
0.029,2.539,0.000
0.044,2.534,0.000
0.020,2.520,0.000
0.020,2.520,0.000
0.039,2.515,0.000
0.020,2.505,0.000
0.024,2.495,0.000
0.000,2.407,-0.000
0.000,2.314,0.000
0.034,2.524,0.000
0.044,2.520,0.000
0.000,2.534,0.000
0.044,2.539,0.000
0.034,2.549,0.000
0.073,2.549,0.000
0.044,2.568,0.000
0.132,2.573,0.001
0.000,2.573,0.001
0.181,2.593,0.001
0.229,2.612,0.001
0.298,2.622,0.002
0.420,2.622,0.002
0.229,2.646,0.002
0.264,2.651,0.003
0.288,2.661,0.003
0.347,2.681,0.004
0.444,2.705,0.005
0.566,2.739,0.006
1.084,2.852,0.013
1.265,2.881,0.015
1.323,2.886,0.015
1.284,2.881,0.015
1.299,2.876,0.015
1.255,2.886,0.015
1.255,2.881,0.015
1.255,2.881,0.015
1.309,2.881,0.015
1.279,2.881,0.015
